Date,Open,High,Low,Close,Adj Close,Volume
2015-05-26,505.250000,507.763000,500.125000,502.325012,393.009735,478896
2015-05-27,503.750000,503.750000,488.437988,492.263000,385.137390,551252
2015-05-28,495.000000,506.750000,494.075012,503.575012,393.987671,421436
2015-05-29,504.250000,513.375000,500.937988,505.600006,395.571991,746392
2015-06-01,507.500000,515.750000,505.825012,511.424988,400.129425,316300
2015-06-02,511.250000,513.700012,501.274994,502.200012,392.911896,555136
2015-06-03,505.000000,515.000000,502.062012,505.774994,395.708923,696708
2015-06-04,507.750000,514.150024,503.587006,507.013000,396.677521,345768
2015-06-05,509.750000,511.000000,502.287994,503.024994,393.557343,479684
2015-06-08,503.000000,505.062012,497.500000,500.062012,391.239197,224292
2015-06-09,503.250000,503.250000,496.274994,498.138000,389.733887,651432
2015-06-10,502.500000,509.924988,496.500000,506.549988,396.315247,424344
2015-06-11,508.750000,511.250000,499.263000,500.462006,391.552124,876372
2015-06-12,500.500000,506.125000,488.875000,494.162994,410.841187,1457624
2015-06-15,490.000000,499.424988,484.250000,495.549988,424.670013,705134
2015-06-16,497.000000,501.000000,492.500000,499.725006,428.247894,249144
2015-06-17,503.500000,510.200012,496.649994,497.899994,426.683899,401368
2015-06-18,500.125000,502.975006,498.000000,500.450012,428.869202,196586
2015-06-19,502.500000,505.149994,496.250000,498.375000,427.090942,211216
2015-06-22,504.500000,514.400024,498.750000,512.200012,438.938538,379194
2015-06-23,512.500000,514.000000,499.549988,500.575012,428.976288,439428
2015-06-24,505.000000,506.700012,495.799988,497.549988,426.383972,303674
2015-06-25,500.000000,501.500000,493.924988,495.575012,424.691467,375776
2015-06-26,497.500000,505.875000,497.500000,503.049988,431.097260,354312
2015-06-29,494.000000,499.500000,490.000000,495.125000,424.305817,429556
2015-06-30,496.500000,496.500000,491.549988,492.674988,422.206238,261804
2015-07-01,495.000000,500.000000,493.075012,498.850006,427.498016,184536
2015-07-02,500.000000,500.200012,492.575012,494.075012,423.406036,247628
2015-07-03,493.500000,496.500000,491.774994,494.975006,424.177277,194282
2015-07-06,490.000000,494.125000,487.750000,491.750000,421.413544,275000
2015-07-07,495.000000,495.375000,490.024994,491.024994,420.792236,173050
2015-07-08,492.500000,492.500000,477.500000,478.600006,410.144470,670570
2015-07-09,480.000000,483.475006,467.000000,468.850006,401.788971,651170
2015-07-10,475.000000,475.924988,466.274994,468.500000,401.489075,308046
2015-07-13,470.000000,477.225006,467.049988,475.024994,407.080780,398782
2015-07-14,477.500000,486.799988,472.674988,485.049988,415.671875,536338
2015-07-15,485.950012,492.600006,484.500000,491.325012,421.049347,270028
2015-07-16,492.750000,495.600006,489.549988,493.899994,423.256042,197530
2015-07-17,494.950012,501.975006,494.500000,501.000000,429.340515,397040
2015-07-20,501.625000,505.000000,493.625000,500.950012,429.297638,347480
2015-07-21,511.100006,563.875000,511.100006,556.325012,476.752258,2835130
2015-07-22,552.500000,555.724976,537.875000,551.299988,472.445923,608726
2015-07-23,551.500000,558.849976,545.500000,549.424988,470.839111,368126
2015-07-24,550.000000,553.099976,541.200012,544.674988,466.768524,247380
2015-07-27,544.500000,544.500000,530.250000,532.500000,456.334991,442272
2015-07-28,538.500000,538.500000,527.750000,531.750000,455.692261,252208
2015-07-29,534.000000,546.125000,532.500000,542.599976,464.990326,260698
2015-07-30,545.000000,545.000000,529.875000,534.549988,458.091736,222822
2015-07-31,539.500000,540.599976,530.799988,539.025024,461.926727,286918
2015-08-03,540.000000,545.750000,534.500000,539.525024,462.355194,253720
2015-08-04,539.000000,540.000000,526.500000,529.900024,454.106873,352202
2015-08-05,532.500000,545.000000,532.500000,543.275024,465.568817,215864
2015-08-06,545.099976,552.974976,539.500000,544.724976,466.811340,371854
2015-08-07,544.724976,550.450012,540.000000,547.799988,469.446503,204284
2015-08-10,548.500000,553.000000,534.049988,540.974976,463.597778,205472
2015-08-11,549.450012,557.500000,536.750000,552.174988,473.195740,456668
2015-08-12,555.000000,573.500000,555.000000,570.875000,489.221130,509318
2015-08-13,573.500000,583.000000,565.000000,578.424988,495.691223,590616
2015-08-14,583.000000,584.400024,571.500000,574.500000,492.327515,369230
2015-08-17,575.000000,575.375000,561.250000,570.924988,489.263916,188892
2015-08-18,573.500000,588.500000,573.500000,581.900024,498.669189,365950
2015-08-19,583.000000,593.000000,581.900024,587.525024,503.489624,569144
2015-08-20,585.000000,585.000000,565.099976,569.099976,487.699951,477064
2015-08-21,570.500000,579.700012,559.549988,575.299988,493.013153,465234
2015-08-24,560.000000,561.500000,540.025024,546.325012,468.182495,680698
2015-08-25,548.000000,560.000000,522.500000,543.250000,465.547394,505044
2015-08-26,549.500000,549.500000,529.799988,532.674988,456.484924,374788
2015-08-27,545.000000,549.450012,538.250000,542.049988,464.518982,239770
2015-08-28,547.599976,562.000000,547.500000,555.349976,475.916718,340600
2015-08-31,565.000000,565.000000,541.799988,547.599976,469.275116,389940
2015-09-01,544.974976,557.200012,541.049988,544.825012,466.897095,388726
2015-09-02,550.000000,557.299988,545.049988,550.150024,471.460419,314152
2015-09-03,555.000000,555.525024,546.974976,550.325012,471.610474,169652
2015-09-04,553.900024,555.000000,534.000000,536.900024,460.105652,316660
2015-09-07,540.500000,542.000000,527.500000,529.799988,454.021118,229390
2015-09-08,531.500000,537.224976,526.174988,529.650024,453.892639,289944
2015-09-09,544.000000,549.500000,536.250000,544.250000,466.404297,295314
2015-09-10,544.000000,545.349976,530.849976,540.174988,462.912201,249656
2015-09-11,546.000000,552.724976,542.625000,545.349976,467.346985,264426
2015-09-14,548.099976,550.000000,541.275024,548.875000,470.367798,175970
2015-09-15,549.500000,552.150024,544.049988,549.200012,470.646332,171054
2015-09-16,552.500000,554.224976,549.099976,550.750000,471.974609,509406
2015-09-18,555.000000,559.000000,549.625000,552.375000,473.367188,286152
2015-09-21,550.000000,554.099976,548.500000,552.325012,473.324402,174482
2015-09-22,557.500000,567.700012,550.000000,552.750000,473.688538,378242
2015-09-23,554.900024,563.000000,548.750000,558.325012,478.466125,222834
2015-09-24,555.500000,574.799988,555.025024,570.700012,489.071167,397886
2015-09-28,570.000000,571.674988,551.525024,554.099976,474.845428,305320
2015-09-29,551.000000,566.000000,549.000000,560.549988,480.372864,335232
2015-09-30,566.500000,582.674988,563.775024,580.224976,497.233734,434424
2015-10-01,584.950012,598.500000,581.174988,586.625000,502.718231,435728
2015-10-05,588.025024,594.450012,581.275024,590.250000,505.824829,299074
2015-10-06,592.500000,595.000000,574.299988,577.424988,494.834167,403586
2015-10-07,578.950012,584.450012,564.174988,566.575012,485.536133,407706
2015-10-08,570.000000,574.825012,563.000000,566.224976,485.236206,283918
2015-10-09,566.500000,586.299988,566.500000,583.924988,500.404419,727298
2015-10-12,601.349976,609.500000,554.450012,561.250000,480.972748,2542272
2015-10-13,553.500000,557.400024,543.549988,549.325012,470.753479,916376
2015-10-14,545.000000,557.500000,545.000000,548.724976,470.239227,480008
2015-10-15,551.000000,554.000000,544.500000,548.500000,470.046478,414802
2015-10-16,550.000000,551.599976,545.000000,546.875000,477.356812,290134
2015-10-19,550.000000,558.500000,550.000000,556.099976,485.409088,316740
2015-10-20,556.500000,564.900024,555.799988,562.674988,491.148315,340046
2015-10-21,562.974976,573.000000,562.674988,568.799988,496.494659,342012
2015-10-23,570.000000,576.000000,562.549988,574.275024,501.273773,298394
2015-10-26,575.000000,578.625000,571.500000,575.700012,502.517639,216648
2015-10-27,575.500000,577.000000,572.000000,574.224976,501.230072,128126
2015-10-28,573.000000,580.000000,569.750000,575.674988,502.495789,195024
2015-10-29,575.000000,577.500000,568.000000,571.349976,498.720581,135184
2015-10-30,571.349976,572.000000,565.250000,568.025024,495.818268,149532
2015-11-02,565.000000,567.500000,557.150024,565.775024,493.854340,160650
2015-11-03,567.000000,574.500000,567.000000,571.500000,498.851501,217568
2015-11-04,574.000000,577.799988,566.549988,568.525024,496.254700,184770
2015-11-05,569.500000,572.424988,558.525024,561.224976,489.882629,290764
2015-11-06,562.500000,571.349976,562.500000,569.025024,496.691101,162332
2015-11-09,560.000000,568.825012,557.500000,566.974976,494.901703,183944
2015-11-10,567.000000,567.000000,551.000000,553.200012,482.877777,227256
2015-11-13,553.500000,553.500000,545.000000,550.224976,480.280945,176286
2015-11-16,542.500000,546.875000,533.549988,540.099976,471.443024,318022
2015-11-17,541.000000,542.000000,526.025024,530.549988,463.106995,663038
2015-11-18,522.000000,522.174988,506.125000,509.924988,445.103821,817628
2015-11-19,516.000000,525.875000,512.299988,523.650024,457.084137,601380
2015-11-20,525.000000,531.000000,521.325012,526.450012,459.528229,282128
2015-11-23,525.750000,530.650024,519.025024,526.750000,459.790100,250472
2015-11-24,522.500000,525.000000,518.500000,520.500000,454.334595,241398
2015-11-26,522.000000,529.349976,517.500000,526.599976,459.659119,246762
